#{"t_start": 1600175509.721128, "env_id": null}
r,l,t
156.0,156,79.862889
149.0,149,80.019738
152.0,152,80.177529
158.0,158,80.341918
156.0,156,80.501415
159.0,159,80.665995
206.0,206,80.885152
175.0,175,81.083941
192.0,192,81.298187
159.0,159,81.476103
158.0,158,81.651661
160.0,160,81.821091
192.0,192,82.038279
186.0,186,82.255235
202.0,202,82.483834
174.0,174,82.670976
190.0,190,82.888025
223.0,223,83.125395
218.0,218,83.360577
222.0,222,83.609296
231.0,231,83.851512
229.0,229,84.092991
213.0,213,84.316145
229.0,229,84.572125
221.0,221,84.809245
219.0,219,85.049665
231.0,231,85.305574
219.0,219,85.544113
218.0,218,85.78491
218.0,218,86.018344
230.0,230,86.276675
242.0,242,86.544793
255.0,255,86.825478
258.0,258,87.112743
281.0,281,87.427101
294.0,294,87.750974
331.0,331,88.113878
310.0,310,88.460605
321.0,321,88.831142
362.0,362,89.23976
354.0,354,89.628352
404.0,404,104.965159
500.0,500,105.500408
500.0,500,106.093659
500.0,500,106.72268
500.0,500,107.302898
500.0,500,107.855501
500.0,500,108.458935
500.0,500,109.233382
500.0,500,109.904079
500.0,500,110.500497
473.0,473,111.101225
437.0,437,111.628099
484.0,484,112.267367
370.0,370,112.731233
329.0,329,113.121942
316.0,316,113.500249
357.0,357,113.899811
292.0,292,114.224533
279.0,279,114.52786
287.0,287,114.8517
251.0,251,115.147315
285.0,285,115.462625
310.0,310,115.828712
281.0,281,116.144212
281.0,281,116.458694
315.0,315,116.814921
228.0,228,121.40006
172.0,172,121.583781
203.0,203,121.810345
200.0,200,122.029785
204.0,204,122.258572
172.0,172,122.447345
172.0,172,122.635443
155.0,155,122.799953
170.0,170,122.993394
174.0,174,123.197708
165.0,165,123.379019
158.0,158,123.54686
203.0,203,123.786346
152.0,152,123.957698
182.0,182,124.16018
175.0,175,124.355188
181.0,181,124.573522
149.0,149,124.735837
148.0,148,124.890609
159.0,159,125.059986
157.0,157,125.225834
168.0,168,125.413209
143.0,143,125.581266
265.0,265,125.889298
168.0,168,126.088609
241.0,241,126.353388
203.0,203,126.566045
291.0,291,126.881964
218.0,218,127.114977
264.0,264,127.416781
302.0,302,127.741734
260.0,260,128.01895
287.0,287,128.322002
315.0,315,128.670644
338.0,338,129.040032
408.0,408,129.468519
500.0,500,129.998588
15.0,15,130.014909
500.0,500,130.535283
500.0,500,131.079106
500.0,500,131.601006
500.0,500,148.243149
500.0,500,148.7664
500.0,500,149.312007
500.0,500,149.852971
500.0,500,150.40909
500.0,500,150.941693
500.0,500,151.464179
500.0,500,152.011858
500.0,500,152.534663
500.0,500,153.054011
500.0,500,153.593373
500.0,500,154.11833
500.0,500,154.644292
500.0,500,155.17928
500.0,500,155.704724
500.0,500,156.258122
500.0,500,156.823944
500.0,500,157.408107
500.0,500,157.974517
500.0,500,158.584444
