total_timesteps,value_loss,policy_entropy,clipfrac,serial_timesteps,time_elapsed,policy_loss,approxkl,explained_variance,fps,n_updates,ep_len_mean,ep_reward_mean
356352,0.014679598,0.013095206,0.0,22272,63.981032848358154,-3.1651987e-05,5.390132e-06,0.9815559219568968,7968,1392,122.17,-122.17
356608,0.03926978,0.052567437,0.0,22288,64.01344203948975,-0.00021070475,0.000100012454,0.9667243547737598,7826,1393,122.12,-122.12
356864,0.010853439,0.02125545,0.00048828125,22304,64.04642391204834,-0.0002235655,7.470624e-05,0.9850095575675368,7990,1394,122.12,-122.12
357120,0.012854098,0.047202386,0.00390625,22320,64.07869291305542,-0.0019792411,0.00028731278,0.986363148316741,7921,1395,122.1,-122.1
357376,0.050410207,0.03216971,0.0024414062,22336,64.11127710342407,-0.0023242657,0.0006033828,0.962151650339365,7769,1396,121.37,-121.37
357632,0.014762262,0.043891646,0.0029296875,22352,64.14447283744812,-0.00047973034,0.0002034276,0.9882521321997046,7763,1397,121.36,-121.36
357888,0.010304148,0.051847175,0.013671875,22368,64.17772173881531,-0.0055864556,0.001033354,0.9921312062069774,7937,1398,121.35,-121.35
358144,0.012323832,0.013831288,0.0,22384,64.21023797988892,-3.0407915e-05,9.625941e-06,0.9903393182903528,7915,1399,121.65,-121.65
358400,0.023568312,0.06641576,0.0014648438,22400,64.2428719997406,-0.0007497057,0.00014525518,0.978134747594595,7859,1400,120.89,-120.89
358656,0.005538373,0.030958863,0.0,22416,64.27572774887085,-0.0005558308,3.990836e-05,0.993376046884805,7946,1401,120.89,-120.89
358912,0.01948611,0.026656095,0.0034179688,22432,64.30824708938599,-0.0010178182,0.00028501515,0.9756964799016714,7936,1402,121.39,-121.39
359168,0.018437492,0.02698083,0.00048828125,22448,64.34080195426941,6.521752e-05,9.66964e-05,0.9851236846297979,7723,1403,121.41,-121.41
359424,0.020728499,0.039468206,0.0009765625,22464,64.37430691719055,-0.00065466773,6.453918e-05,0.9847275381907821,7847,1404,121.4,-121.4
359680,0.015765479,0.061863206,0.0014648438,22480,64.40721201896667,-6.1916653e-06,0.00016502623,0.9904606509953737,7898,1405,121.83,-121.83
359936,0.016924601,0.04861206,0.0034179688,22496,64.43987393379211,-0.0022061365,0.00030549837,0.9852304495871067,7916,1406,121.4,-121.4
360192,0.016081557,0.062143132,0.0,22512,64.47249984741211,-5.6498568e-05,3.765111e-05,0.977230915799737,579,1407,121.39,-121.39
360448,0.015853401,0.022729985,0.00048828125,22528,64.91481280326843,1.0133139e-05,4.309554e-05,0.9806117620319128,7600,1408,121.39,-121.39
360704,0.024376824,0.02424054,0.0043945312,22544,64.94882082939148,-0.0018730288,0.00024313404,0.9781310446560383,8052,1409,121.02,-121.02
360960,0.025633125,0.050824776,0.0063476562,22560,64.98087286949158,-0.0005866175,0.00043198172,0.9805434849113226,7871,1410,121.86,-121.86
361216,0.044957627,0.037314225,0.0009765625,22576,65.01366972923279,-0.00025500584,0.000100196004,0.9699542298913002,7913,1411,121.44,-121.44
361472,0.013140176,0.037607756,0.0034179688,22592,65.04626893997192,-0.0011915159,0.00024053102,0.9929540189914405,7943,1412,121.81,-121.81
361728,0.023376608,0.044719238,0.0014648438,22608,65.0787398815155,-0.000636703,0.00010946918,0.9728691838681698,8093,1413,121.8,-121.8
361984,0.032902204,0.0641469,0.009765625,22624,65.11068272590637,-0.0008239559,0.00089034345,0.9540126286447048,7784,1414,122.16,-122.16
362240,0.02241686,0.017161604,0.0029296875,22640,65.1438558101654,-0.0014852043,0.0006658981,0.9475634507834911,7964,1415,122.16,-122.16
362496,0.040050346,0.034932263,0.001953125,22656,65.17626690864563,-6.0158083e-05,0.000108293,0.9325025677680969,7917,1416,122.16,-122.16
362752,0.023585785,0.03511391,0.0048828125,22672,65.20885872840881,-0.0012364044,0.00037778882,0.9653199054300785,7812,1417,121.79,-121.79
363008,0.023172649,0.028859353,0.005859375,22688,65.24189782142639,-0.0006620699,0.00048597835,0.9814752321690321,7866,1418,122.14,-122.14
363264,0.029889004,0.028194554,0.00048828125,22704,65.27472472190857,-0.0011368004,7.670555e-05,0.9810090884566307,7936,1419,123.35,-123.35
363520,0.02442313,0.022678478,0.0034179688,22720,65.3072350025177,-0.0014187279,0.00044323184,0.9897826593369246,7808,1420,122.99,-122.99
363776,0.027703326,0.05295145,0.0073242188,22736,65.3402910232544,-0.0018658591,0.00053132756,0.9888031110167503,7675,1421,123.33,-123.33
364032,0.025499057,0.033995982,0.0,22752,65.37394309043884,0.0001619719,1.929831e-05,0.9786232132464647,7724,1422,124.53,-124.53
364288,0.03210767,0.043675877,0.0009765625,22768,65.40737795829773,-0.0002361529,0.00010801932,0.9516549110412598,8009,1423,124.53,-124.53
364544,0.029313,0.03897119,0.0,22784,65.43965005874634,-0.00043829577,1.8588398e-05,0.9666776247322559,7891,1424,125.03,-125.03
364800,0.028153393,0.015950408,0.0024414062,22800,65.47237300872803,-0.0001046987,0.00010359766,0.9601430334150791,7966,1425,125.37,-125.37
365056,0.021058861,0.044640463,0.0014648438,22816,65.50477695465088,-0.00091601576,0.00014350517,0.9802199341356754,7893,1426,125.4,-125.4
365312,0.017448895,0.02590352,0.0,22832,65.53748774528503,2.4519046e-05,5.1147446e-05,0.9881651420146227,7765,1427,126.16,-126.16
